기관명,전화번호,도로명주소,우편번호,위도,경도,구군명,데이터기준일자
금정구청,051-519-4000,부산광역시 금정구 중앙대로 1777 ,46274,35.242586,129.092097,부산광역시 금정구,2018-10-11
금정구 보건소,051-519-5051,부산광역시 금정구 중앙대로 1777,46274,35.242586,129.092097,부산광역시 금정구,2018-10-11
금정 도서관,051-519-5601,부산광역시 금정구 금정도서관로 33,46213,35.272691,129.096107,부산광역시 금정구,2018-10-11
금정 문화회관, 051-519-5651 ,부산광역시 금정구 체육공원로 7,46251,35.245866,129.094163,부산광역시 금정구,2018-10-11
금정구 평생학습관,051-714-4231,부산광역시 금정구 서곡로33번길 9,,35.217195,129.103916,부산광역시 금정구,2018-10-11
서1동 주민센터,051-519-5100,부산광역시 금정구 서부로69번길 17,,35.21832,129.099121,부산광역시 금정구,2018-10-11
서2동 주민센터,051-519-5120,부산광역시 금정구 서동중심로 33,,35.212854,129.104483,부산광역시 금정구,2018-10-11
서3동 주민센터,051-519-5140,부산광역시 금정구 서곡로33번길 9,,35.217195,129.103916,부산광역시 금정구,2018-10-11
금사회동동 주민센터,051-519-5180,부산광역시 금정구 금사로85번길 12,,35.220347,129.111099,부산광역시 금정구,2018-10-11
부곡1동 주민센터,051-519-5200,부산광역시 금정구 동부곡로6번길 29,,35.224405,129.092117,부산광역시 금정구,2018-10-11
부곡2동 주민센터,051-519-5220,부산광역시 금정구 부곡로156번길 7,,35.229826,129.092684,부산광역시 금정구,2018-10-11
부곡3동 주민센터,051-519-5240,부산광역시 금정구 기찰로 107,,35.240524,129.093806,부산광역시 금정구,2018-10-11
부곡4동 주민센터,051-519-5260,부산광역시 금정구 부곡로18번안길 37,,35.219885,129.088553,부산광역시 금정구,2018-10-11
장전1동 주민센터,051-519-5280,부산광역시 금정구 금강로335번길 27,,35.237702,129.084924,부산광역시 금정구,2018-10-11
장전2동 주민센터,051-519-5300,부산 금정구 소정로 19,,35.227741,129.080957,부산광역시 금정구,2018-10-11
장전3동 주민센터,051-519-5320,부산광역시 금정구 금정로 29-6,,35.227484,129.085502,부산광역시 금정구,2018-10-11
선두구동 주민센터,051-519-5340,부산광역시 금정구 두구죽전1길 13,,35.298259,129.113328,부산광역시 금정구,2018-10-11
청룡노포동 주민센터,051-519-5360,부산광역시 금정구 청룡로 25,,35.275245,129.089854,부산광역시 금정구,2018-10-11
남산동 주민센터,051-519-5380,부산광역시 금정구 중앙대로2097번길 4,,35.271645,129.092246,부산광역시 금정구,2018-10-11
구서1동 주민센터,051-519-4916,부산광역시 금정구 수림로72번길 123,,35.245147,129.086968,부산광역시 금정구,2018-10-11
구서2동 주민센터,051-519-5420,부산광역시 금정구 두실로7번길 115,,35.255201,129.090574,부산광역시 금정구,2018-10-11
금성동 주민센터,051-519-5440,부산광역시 금정구 산성로 452,,35.250261,129.056005,부산광역시 금정구,2018-10-11
금정 세무서,051-580-6200,부산광역시 금정구 중앙대로 1636 ,,35.230192,129.092041,부산광역시 금정구,2018-10-11
금정 경찰서,051-510-0324,부산광역시 금정구 중앙대로 1819 ,,35.246888,129.091749,부산광역시 금정구,2018-10-11
금정 소방서,051-760-4713,부산광역시 금정구 중앙대로 1789 ,,35.243942,129.092577,부산광역시 금정구,2018-10-11
금정 우체국,051-519-6014,부산광역시 금정구 중앙대로1793번길 20 (구서동),46274,35.244315,129.092198,부산광역시 금정구,2018-10-11
구서동 우체국,051-512-0101,부산광역시 금정구 금강로 473 (구서동),46232,35.249664,129.087764,부산광역시 금정구,2018-10-11
장전동 우체국,051-582-2005,부산광역시 금정구 금강로 241-1 (장전동),46288,35.229729,129.084477,부산광역시 금정구,2018-10-11
남산동 우체국,051-514-0608,부산광역시 금정구 범어천로52번길 28 (남산동),46219,35.270773,129.090882,부산광역시 금정구,2018-10-11
부곡동 우체국,051-517-0572,부산광역시 금정구 부곡로 75 (부곡동),46306,35.222742,129.090601,부산광역시 금정구,2018-10-11
서동 우체국,051-522-2998,부산광역시 금정구 서동로149번길 13 (서동),46320,35.21546,129.103398,부산광역시 금정구,2018-10-11
고용노동부 부산동부지청,051-559-3700,부산광역시 금정구 공단서로 12,,35.216216,129.11146,부산광역시 금정구,2018-10-11
안전보건공단 부산지역본부,051-520-0510,부산광역시 금정구 중앙대로1763번길 26 ,,35.242024,129.091442,부산광역시 금정구,2018-10-11
근로복지공단 부산동부지사,1588-0075,부산광역시 금정구 중앙대로1763번길 26 ,,35.242024,129.091442,부산광역시 금정구,2018-10-11
금정구 선거관리위원회,051-514-1960,부산광역시 금정구 동현로 12,46306,35.223327,129.08973,부산광역시 금정구,2018-10-11
