기관명,의료기관명,주소,전화번호
한방병원,제일한방병원,부산광역시 금정구 서동로 172 (서동),051-523-7507
한방병원,의료법인 삼세의료재단 삼세한방병원,부산광역시 금정구 중앙대로 1580 (부곡동),051-583-5400
정신병원,동래병원,부산광역시 금정구 체육공원로 608 (두구동),051-508-0011
정신병원,의료법인영파의료재단 마음향기병원,부산광역시 금정구 금샘로 56 (장전동),051-516-1220
요양병원,의료법인세왕의료재단 세왕요양병원,부산광역시 금정구 식물원로9번길 37 (장전동),051-468-9700
요양병원,양지요양병원,부산광역시 금정구 금강로 209 (장전동),051-582-5757
요양병원,한빛의료소비자생활협동조합 한빛요양병원,"부산광역시 금정구 구서중앙로15번길 20, 7,9층 (구서동)",051-995-9966
요양병원,사단법인 대승불교보광정사 보광요양병원,부산광역시 금정구 반송로 440-7 (금사동),051-527-5225
요양병원,의료법인 천지의료재단 금샘요양병원,부산광역시 금정구 남산냇길 111 (청룡동),051-931-0119
요양병원,금정형주요양병원,부산광역시 금정구 금강로 638 (남산동),051-532-7533
요양병원,푸른숲요양병원,"부산광역시 금정구 금강로 592, 지1,1,3-7층 (구서동)",051-714-0098
요양병원,의료법인선우의료재단  BHS동래한서요양병원,부산광역시 금정구 중앙대로 1721 (부곡동),051-509-3000
요양병원,의료법인좋은사람들의료재단 관자재요양병원,부산광역시 금정구 금단로 140-2 (남산동),051-516-9898
요양병원,의료법인청림의료재단온천요양병원,"부산광역시 금정구 부곡로 36, 2-4층 (부곡동, 애플타워)",051-529-2408
요양병원,의료법인나눔의료재단 행림요양병원,부산광역시 금정구 중앙대로 1905 (구서동),051-517-8211
요양병원,서동제일요양병원,부산광역시 금정구 서동로 172 (서동),051-529-5500
요양병원,사랑요양병원,부산광역시 금정구 중앙대로 1590 (부곡동),051-514-7277
요양병원,의료법인 동일의료재단 금정나라요양병원,부산광역시 금정구 무학송로 143 (부곡동),051-513-1284
요양병원,의료법인 영파의료재단 규림요양병원,부산광역시 금정구 금샘로 59 (장전동),051-582-1234
요양병원,부곡요양병원,부산광역시 금정구 부곡로 56 (부곡동),051-512-6900
요양병원,사단법인 한국불교미륵종 제일요양병원,부산광역시 금정구 서부로 56 (서동),051-527-3800
요양병원,의료법인해림의료재단 부산금사요양병원,"부산광역시 금정구 반송로 470, 2~7층 (금사동)",051-521-7581
요양병원,보람요양병원,부산광역시 금정구 중앙대로 1961 (구서동),051-514-0075
병원,금정어린이병원,"부산광역시 금정구 금정로 244, 2~5층 (구서동)",051-967-5222
병원,부산마이크로병원,부산광역시 금정구 중앙대로 1875 (구서동),051-514-1400
병원,순여성병원,부산광역시 금정구 중앙대로 1701 (부곡동),051-515-0005
병원,패밀리병원,부산광역시 금정구 온천장로 136-1 (장전동),051-515-0079
병원,메드윌병원,"부산광역시 금정구 중앙대로 1951 (구서동, 메드월병원)",051-519-8000
병원,새우리남산병원,부산광역시 금정구 중앙대로 2025 (남산동),051-516-9999
병원,의료법인아너의료재단 아름다운강산병원,부산광역시 금정구 공단로 7 (금사동),051-526-7100
병원,행복한외과병원,부산광역시 금정구 부곡로 184 (부곡동),051-583-8252
병원,남산내과·신경과병원,부산광역시 금정구 중앙대로 1917 (구서동),051-582-9461
병원,세웅병원,부산광역시 금정구 서동로 162 (서동),051-500-9700
의원,늘사랑가정의학과의원,"부산광역시 금정구 금강로 494, 구서골드3상가 402호 (구서동)",051-581-3544
의원,나우향정신건강의학과의원,"부산광역시 금정구 부곡로 122-1, 4층 (부곡동)",051-715-5180
의원,뷰티203의원,"부산광역시 금정구 부산대학로 53, 2~3층 (장전동)",051-583-9799
의원,서승진정신건강의학과의원,"부산광역시 금정구 구서로 14, 4층 (구서동, 태명제1빌딩)",051-582-6001
의원,윤이비인후과의원,"부산광역시 금정구 서동로 159, 2층 (서동)",051-529-8899
의원,더고운피부과의원,"부산광역시 금정구 온천장로 131, 3층 (장전동, 우성빌딩)",051-558-7575
의원,김태균마취통증의학과의원,"부산광역시 금정구 중앙대로 2091, 3층 (남산동, 금정메디컬센타)",051-622-8000
의원,윤정신건강의학과의원,"부산광역시 금정구 중앙대로 1943, 9층 (구서동, 첨단빌딩)",051-583-5002
의원,센텀린의원,"부산광역시 금정구 부산대학로 49, 4층 (장전동, 오션프라자)",051-583-8585
의원,미소마취통증의학과의원,"부산광역시 금정구 중앙대로1719번길 16, 3층 (부곡동, 참한빌딩)",051-581-7581
의원,부산휴내과의원,"부산광역시 금정구 장전로 31-1, 2층 (장전동)",051-714-1525
의원,엘린의원,"부산광역시 금정구 중앙대로1841번길 2, 2층 (구서동, 유원타워)",051-714-3701
의원,수마취통증의학과의원,"부산광역시 금정구 서동로 168, 6층 (서동, 송월빌딩)",051-524-8900
의원,제이케이(JK)맑은피부과의원,"부산광역시 금정구 중앙대로1841번길 15, 7층 (구서동, 명성빌딩)",051-512-8787
의원,이경일내과의원,"부산광역시 금정구 중앙대로 2029, 3층 (남산동)",051-582-3399
의원,김경택이비인후과의원,"부산광역시 금정구 부곡로 10, 5층 (부곡동, 라이프빌딩)",051-582-8861
