기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
병원,(재)한호기독선교회 정관일신기독병원,"부산광역시 기장군 정관읍 정관6로 31, 일신메디컬센터 3~7,10층",051-780-0600
병원,더강한병원,"부산광역시 기장군 정관읍 정관로 581, 4, 5층",051-727-8727
병원,선힐링병원,"부산광역시 기장군 정관읍 정관로 613, 2, 3층",051-717-0124
병원,위민의료소비자생활협동조합 정관중앙병원,"부산광역시 기장군 정관읍 정관로 579, 조은프라자(3층일부.6.7.8.11층)",051-774-1111
요양병원,우리들요양병원,부산광역시 기장군 기장읍 차성남로 103,051-936-9000
요양병원,기장연세요양병원,부산광역시 기장군 기장읍 반송로 1644,051-741-7525
요양병원,평거요양병원,부산광역시 기장군 기장읍 대청로36번길 11-33,051-747-0079
요양병원,정관우리아동병원,부산광역시 기장군 정관면 정관중앙로 56,051-727-7812
병원,의료법인뵈뵈의료재단복있는요양병원,부산광역시 기장군 기장읍 대변로 117-2,051-529-1524
병원,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,051-720-5114
병원,현대요양병원,부산광역시 기장군 기장읍 반송로 1555,051-721-7582
병원,(의)피터의료재단새소망요양병원,부산광역시 기장군 기장읍 기장해안로 552,051-722-4848
병원,(의)서일의료재단기장병원,부산광역시 기장군 기장읍 대청로72번길 6,051-723-0171
