기관명,전화번호,도로명주소,우편번호,위도,경도,구군명,데이터기준일자
구포1동주민센터,051-309-6201,부산광역시 북구 낙동대로1762번길 75(구포동),46583,35.206716,129.001167,부산 북구,2018.11.21.
구포2동행정복지센터,051-309-6221,부산광역시 북구 낙동북로663번길 23(구포동),46585,35.202973,128.997908,부산 북구,2018.11.21.
구포3동주민센터,051-309-6247,부산광역시 북구 시랑로118번길 23(구포동),46644,35.195197,129.008856,부산 북구,2018.11.21.
금곡동행정복지센터,051-309-6264,부산광역시 북구 금곡대로 466(금곡동),46509,35.250386,129.012875,부산 북구,2018.11.21.
화명1동주민센터,051-309-6301,부산광역시 북구 금곡대로 274(화명동),46533,35.233014,129.013819,부산 북구,2018.11.21.
화명2동주민센터,051-309-6321,부산광역시 북구 양달로 58(화명동),46516,35.243816,129.019899,부산 북구,2018.11.21.
화명3동주민센터,051-309-6341,부산광역시 북구 화명신도시로 85(화명동),46527,35.232171,129.010046,부산 북구,2018.11.21.
덕천1동행정복지센터,051-309-6361,부산광역시 북구 만덕대로102번가길 11(덕천동),46568,35.212753,129.016625,부산 북구,2018.11.21.
덕천2동주민센터,051-309-6384,부산광역시 북구 금곡대로20번길 60(덕천동),46546,35.212682,129.008002,부산 북구,2018.11.21.
덕천3동행정복지센터,051-309-6401,부산광역시 북구 덕천로 118(덕천동),46589,35.210246,129.017426,부산 북구,2018.11.21.
만덕1동주민센터,051-309-6427,부산광역시 북구 만덕1로 1(만덕동),46561,35.213729,129.036362,부산 북구,2018.11.21.
만덕2동주민센터,051-309-6441,부산광역시 북구 만덕2로44번길 10(만덕동),46566,35.210447,129.037208,부산 북구,2018.11.21.
만덕3동주민센터,051-309-6461,부산광역시 북구 만덕3로 52(만덕동),46571,35.211575,129.02907,부산 북구,2018.11.21.
