기관명,도로명주소,전화번호,위도,경도,우편번호,데이터기준일자
부산광역시 서구청,부산광역시 서구 구덕로 120 (토성동4가),051-240-4000,35.09753855,129.023424,49247,2019-03-08
부산광역시 서구 남부민1동주민센터,부산광역시 서구 충무대로255번길 5-26 (남부민동),051-240-6601,35.09274404,129.0233092,49256,2019-03-08
부산광역시 서구 남부민2동주민센터,부산광역시 서구 천마로 87 (남부민동),051-240-6621,35.08451052,129.0205414,49262,2019-03-08
부산광역시 서구 동대신1동주민센터,부산광역시 서구 구덕로280번길 32 (동대신1동),051-240-6401,35.1096264,129.0202187,49221,2019-03-08
부산광역시 서구 동대신2동주민센터,부산광역시 서구 보동길275번길 9 (동대신동2가),051-240-6421,35.11296328,129.0232222,49215,2019-03-08
부산광역시 서구 동대신3동주민센터,부산광역시 서구 대영로73번길 92 (동대신동3가),051-240-6441,35.11441971,129.0172617,49212,2019-03-08
부산광역시 서구 부민동주민센터,부산광역시 서구 임시수도기념로 22-11 (부민동3가),051-240-6521,35.10381788,129.0184899,49236,2019-03-08
부산광역시 서구 서대신1동주민센터,부산광역시 서구 구덕로315번길 49 (서대신동2가),051-240-6461,35.11108129,129.0144229,49227,2019-03-08
부산광역시 서구 서대신3동주민센터,부산광역시 서구 대신로 27 (서대신동3가),051-240-6481,35.11346375,129.0119404,49209,2019-03-08
부산광역시 서구 서대신4동주민센터,부산광역시 서구 꽃마을로 58 (서대신동3가),051-240-6501,35.11924335,129.0117487,49207,2019-03-08
부산광역시 서구 아미동주민센터,부산광역시 서구 해돋이로269번길 17 (아미동2가),051-240-6541,35.10026363,129.0155939,49240,2019-03-08
부산광역시 서구 암남동주민센터,부산광역시 서구 충무대로 83 (암남동),051-240-6661,35.07989182,129.0209553,49265,2019-03-08
부산광역시 서구 초장동주민센터,부산광역시 서구 초장로27번길 32 (초장동),051-240-6561,35.09597853,129.0202897,49248,2019-03-08
부산광역시 서구 충무동주민센터,부산광역시 서구 구덕로148번길 16 (토성동5가),051-240-6581,35.09802252,129.0216204,49246,2019-03-08
부산광역시 서구 보건소,부산광역시 서구 부용로 30 (부용동2가),051-242-4000,35.10743629,129.0180414,49233,2019-03-08
