기관명,전화번호,도로명주소,우편번호,위도,경도,구군명,데이터기준일자
남천제1동행정복지센터,051-610-5901,부산광역시 수영구 남천동로 13,48307,35.142683,129.110316,수영구,2018-10-22
남천제2동행정복지센터,051-610-5911,부산광역시 수영구 광안해변로 99,48305,35.143814,129.114721,수영구,2018-10-22
수영동행정복지센터,051-610-5921,부산광역시 수영구 수영성로 36,48229,35.170501,129.116029,수영구,2018-10-22
망미제1동행정복지센터,051-610-5931,부산광역시 수영구 연수로315번길 23,48208,35.173415,129.104916,수영구,2018-10-22
망미제2동행정복지센터(임시청사),051-610-5941,부산광역시 수영구 구락로 150,48212,35.180297,129.11523,수영구,2018-10-22
광안제1동행정복지센터,051-610-5951,부산광역시 수영구 광일로14번길 17,48248,35.162891,129.112391,수영구,2018-10-22
광안제2동행정복지센터,051-610-5961,부산광역시 수영구 광안로16번길 22,48298,35.155784,129.113776,수영구,2018-10-22
광안제3동행정복지센터,051-610-5971,부산광역시 수영구 망미번영로38번길 103,48242,35.167909,129.113568,수영구,2018-10-22
광안제4동행정복지센터,051-610-5981,부산광역시 수영구 호암로9번길 34,48261,35.155049,129.111373,수영구,2018-10-22
민락동행정복지센터,051-610-5991,부산광역시 수영구 광안해변로295번길 20,48290,35.157254,129.12543,수영구,2018-10-22
