기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
병원,위한병원,"부산광역시 수영구 수영로 711, 3~9, 14~15층 (수영동)",051-753-7582
병원,수영어린이병원,"부산광역시 수영구 수영로 671, 2층~3층 (광안동)",051-753-3579
병원,박원욱병원,"부산광역시 수영구 광안로 4, 지하1층,지상5~8층 (광안동, 에스케이뷰상가)",1544-7582
병원,상쾌한병원,부산광역시 수영구 연수로 406 (광안동),051-751-9775
병원,메트로적추병원,부산광역시 수영구 수영로 390-1 (남천동),051-626-0250
병원,서호병원,부산광역시 수영구 광남로 117 (광안동),051-902-7777
병원,한나여성아이병원,부산광역시 수영구 황령대로481번길 7 (남천동),051-625-2300
병원,의료법인 센텀의료재단 부산센텀병원,"부산광역시 수영구 수영로 677, 부산센텀병원 지하1~6층 (광안동)",051-750-5000
병원,자모여성병원,부산광역시 수영구 수영로 555 (광안동),051-760-0600
의원,에이스안과의원,"부산광역시 수영구 수영로 581, 6층 (광안동)",051-714-4774
의원,케이피부과의원,"부산광역시 수영구 수영로 697, 홍인빌딩 6층 (수영동)",051-755-5511
의원,조이비뇨의학과의원,"부산광역시 수영구 수영로 577, 5층 (광안동)",051-757-7582
의원,수마취통증의학과의원,"부산광역시 수영구 과정로41번길 20, 메디플러스 5층 (망미동)",051-711-0066
의원,유대우외과의원,"부산광역시 수영구 수영로 577, 6층 (광안동)",051-758-8080
의원,신 경성 정신건강의학과의원,"부산광역시 수영구 수영로 577, 3층 (광안동)",051-636-5560
의원,유마비엔디의원,"부산광역시 수영구 수영로 710-1, 프라임메디컬 빌딩 6층 (광안동)",051-557-7552
의원,강필비뇨의학과의원,"부산광역시 수영구 수영로 669, 신세계메디컬센터 7층 (광안동)",051-757-6263
의원,우리이비인후과의원,"부산광역시 수영구 수영로 581, 우광메디컬센터 5층 501호 (광안동)",051-753-8822
의원,뉴하트의원,"부산광역시 수영구 수영로 699, 수영동 디온 플레이스 4층 (수영동)",051-753-0640
의원,명성의원,부산광역시 수영구 수영성로 33-1 (수영동),051-751-9980
의원,김병호정형외과의원,"부산광역시 수영구 수영로 581, 4,5(일부)층 (광안동)",051-752-0020
의원,김재도줄기정형외과의원,"부산광역시 수영구 수영로 411, 8,9층 (남천동, 글로리)",051-868-7288
의원,마인드풀정신건강의학과의원,"부산광역시 수영구 수영로 699, 8층 801호 (수영동, 수영동디온플레이스)",051-714-0706
의원,상쾌한이비인후과의원,"부산광역시 수영구 수영로 379, 5층 (남천동)",051-612-3456
의원,모닝스타의원,"부산광역시 수영구 수영로 582, 1층 (광안동)",051-755-7040
의원,수영여성의원,"부산광역시 수영구 수영로 669, 7층 (광안동, 신세계메디컬센터)",051-757-5353
의원,드라마101의원,"부산광역시 수영구 수영로 596, 2,3층 (광안동, 모아크리닉)",051-747-3349
의원,더퀸의원,"부산광역시 수영구 수영로 384, 6층 (남천동, 수영빌딩)",015-624-4602
의원,셀레나의원,"부산광역시 수영구 수영로 690-5, 11층 (광안동, 메디세움)",051-806-7666
의원,김완수안과의원,"부산광역시 수영구 수영로 690-5, 6층 (광안동)",051-714-7188
의원,척척신경외과의원,"부산광역시 수영구 수영로 690-5, 8층 (광안동, 메디세움)",051-755-5005
의원,참편한마취통증의학과의원,"부산광역시 수영구 수영로 582, 6층 (광안동)",051-751-8875
의원,제안과의원,"부산광역시 수영구 수영로 671, 4층 (광안동, 노블레스해인)",051-757-6500
의원,수영성모안과의원,"부산광역시 수영구 수영로 699, 1001호 (수영동, 수영동디온플레이스)",051-754-4222
의원,청담에이스의원,"부산광역시 수영구 광안로 4, 305~306호 (광안동, 광안동에스케이뷰)",051-753-7581
의원,대호마취통증의학과의원,"부산광역시 수영구 수영로 699, 701호 (수영동, 수영동디온플레이스)",051-754-7116
의원,백천피부과의원,"부산광역시 수영구 수영로 699, 301호 (수영동, 수영동디온플레이스)",051-758-1100
의원,조은장내과의원,"부산광역시 수영구 과정로41번길 20, 메디플러스 4층 (망미동)",051-758-7525
의원,부산더맑은의원,"부산광역시 수영구 수영로 761, 2~4층 (수영동)",051-753-3523
의원,성모피부과의원,"부산광역시 수영구 수영로 609-1, 2층 (광안동)",051-752-8575
의원,백준형정신건강의학과의원,"부산광역시 수영구 수영로 669 (광안동, 신세계메디칼빌딩 5층)",051-759-7559
의원,밝은김안과의원,"부산광역시 수영구 수영로 379, 4층 (남천동, 스타메디칼빌딩)",051-612-6116
의원,행복한수영정신건강의학과의원,"부산광역시 수영구 수영로 685, 영동빌딩3층 (광안동)",051-996-8275
의원,토마스정형외과의원,"부산광역시 수영구 수영로 379, 6~8층 (남천동)",051-714-7114
의원,레아의원,"부산광역시 수영구 수영로 379, 3층 (남천동)",051-714-2806
의원,박숙현정신건강의학과의원,"부산광역시 수영구 수영로 382 (남천동, 광림빌딩5층)",051-611-3339
의원,굿모닝JS의원,"부산광역시 수영구 연수로 267, 1층 (망미동)",051-756-0753
