기관명,주 소,전화번호
"연제구청, 연제보건소, 연제구의회",부산광역시 연제구 연제로 2(연산동),051-665-4000
부산지방고용노동청,부산광역시 연제구 연제로 36(연산2동 1470-1),051-853-0009 
푸른도시가꾸기사업소,부산광역시 연제구 고분로191번길 6 ,051-756-2831~2
"부산광역시시청, 부산광역시의회",부산광역시 연제구 중앙대로 1001(연산동) ,(051)120
부산지방우정청,부산광역시 연제구 법원북로 33 (거제동 1473),051-559-3005 
"부산지방검찰청, 부산고등검찰청",부산광역시 연제구 법원로 15,1301
연제우체국,부산광역시 연제구 법원북로 33 (거제동),051-500-0888
국가기록원역사기록관,부산광역시 연제구 경기장로 28,051-550-8000
"부산지방법원, 부산고등법원",부산광역시 연제구 법원로 31(거제동 1500),051-590-1114 
부산광역시 선거관리위원회,부산광역시 연제구 연제로 28,051-861-1390
국민연금공단 부산지사,부산광역시 연제구 중앙대로 1000,1355
국민건강보험공단 부산연제지사,부산광역시 연제구 월드컵대로 161(아시아드메디컬빌딩),1577-1000
부산지방경찰청,부산광역시 연제구 중앙대로 999,1566-0112
부산소방본부,부산광역시 연제구 고분로 216,051-760-3000
국가인권위원회 부산지역사무소,부산광역시 연제구 중앙대로 1000,051-710-9710
연제경찰서,부산광역시 연제구 토곡로 26 (연산9동 243-11),051-759-7000
동래소방서,부산광역시 연제구 고분로 216 ,051-760-4380
부산국제교류재단,부산광역시 연제구 중앙로 1992(국민연금 부산회관 13층),051-668-7900
부산지방국세청,부산광역시 연제구 연제로 12 (연산2동 1557번지),051-750-7200
한국철도공사,부산광역시 연제구 해맞이로 92,051-503-7788
동래세무서,부산광역시 연제구 거제천로269번길 16 (거제1동),051-860-2200
부산의료원,부산광역시 연제구 월드컵대로 359,051-507-3000
동남지방통계청,부산광역시 연제구 연제로 24,051-850-3300
