기관명,의료기관명,의료기관주소(도로명),의료기관전화번호
병원,더바른 병원,부산광역시 연제구 아시아드대로 79 (거제동),051-715-7588
요양병원,아시아드 요양병원,"부산광역시 연제구 월드컵대로 161, 아시아드메디컬빌딩 2~11층 (연산동)",051-717-0123
치과병원,오오치과병원,"부산광역시 연제구 중앙대로 1096, 3,4,5층 (연산동)",051-868-5522
정신병원,동래나눔과행복병원,"부산광역시 연제구 중앙대로 1239 (거제동, 1~6층, 8층(일부 제외))",051-507-7011
요양병원,연산인제요양병원,"부산광역시 연제구 과정로 152, 4,5층 (연산동)",051-757-8007
요양병원,연산관자재요양병원,부산광역시 연제구 과정로 128 (연산동),051-257-9898
병원,이진용맘병원,"부산광역시 연제구 중앙대로 1077, 상계빌딩 5,7,11~14층 (연산동)",051-997-3843
요양병원,의료법인 성은의료재단 연산요양병원,"부산광역시 연제구 배산북로 50 (연산동, C동 1~6층(일부 제외))",051-866-5300
병원,뉴프라임연산병원,"부산광역시 연제구 중앙대로 1090, 프라임시티 9~11, 13층 일부호 (연산동)",051-864-7600
병원,워크재활의학과병원,부산광역시 연제구 고분로13번길 15 (연산동),051-714-4119
치과병원,유앤아이치과병원,"부산광역시 연제구 중앙대로 1090, 701호 (연산동)",051-921-0100
병원,한양류마디병원,부산광역시 연제구 과정로 272 (연산동),051-752-1990
병원,의료법인명은의료재단 명은병원,"부산광역시 연제구 월드컵대로 184, 명은 병원 (거제동)",051-852-0788
요양병원,금정의료소비자생활협동조합 금송요양병원,"부산광역시 연제구 중앙대로 1078 (연산동, 4,5층)",051-581-5481
한방병원,한길한방병원,"부산광역시 연제구 월드컵대로 359 (거제동, 5동 3,4층)",051-507-8500
병원,위대한탄생여성병원,"부산광역시 연제구 중앙대로 1083 (연산동, 3~7층, 12층)",051-862-0010
요양병원,의료법인나라의료재단 연제나라요양병원,부산광역시 연제구 중앙대로 1175 (거제동),051-853-3636
요양병원,의료법인안심의료재단 안심요양병원,부산광역시 연제구 과정로 222 (연산동),051-865-0300
요양병원,호정메디칼요양병원,"부산광역시 연제구 중앙천로 94 (연산동, 2~8층 중앙대로 1050)",051-862-6222
요양병원,의료법인건강한사람들의료재단 프리마요양병원,"부산광역시 연제구 고분로 4 (연산동, 2~10층(2,10층 일부, 6층 제외))",051-867-7500
병원,새항운병원,부산광역시 연제구 중앙대로 1064 (연산동),051-866-2800
요양병원,의료법인 노송의료재단 시티요양병원,부산광역시 연제구 중앙대로 1078 (연산동),051-867-3171
요양병원,의료법인 황산의료재단 황산요양병원,부산광역시 연제구 쌍미천로84번길 37 (연산동),051-867-4428
요양병원,의료법인은정의료재단 호산기독요양병원,부산광역시 연제구 화지로 107 (거제동),051-503-7871
한방병원,체담한방병원,"부산광역시 연제구 중앙대로 1090 (연산동, 8층, 13층 일부)",051-753-1500
요양병원,부산노인전문제2병원,부산광역시 연제구 월드컵대로 359 (거제동),051-607-2075-8
요양병원,우리행복요양병원,"부산광역시 연제구 과정로 130 (연산동, 1층(일부제외)∼8층)",051-759-9119
병원,웰니스병원,부산광역시 연제구 반송로 52 (연산동),051-852-8275
병원,연제일신병원,부산광역시 연제구 고분로 6 (연산동),051-862-2002
정신병원,성은의료재단 연산병원,"부산광역시 연제구 배산북로 50 (연산동, 배산북로 47)",051-866-5050
