기관명,의료기관명,소재지,전화번호
병원 ,해동병원,부산광역시 영도구 태종로 133 (봉래동 3가),051-412-6161
병원,영도병원,부산광역시 영도구 태종로 85 (대교동2가),051-414-8101
병원,서울i아이병원,부산광역시 영도구 영선대로 75(영선동2가),051-730-8300
요양병원,태종대요양병원,"부산광역시 영도구 태종로820-23 (동삼동), 감지길27-12(동삼동)",051-717-3101
요양병원,인제요양병원,부산광역시 영도구 절영로 21(대교동2가),051-412-2440
요양병원,성원의료재단 영도참편한요양병원,부산광역시 영도구 동삼서로 21(동삼동),051-403-9971
요양병원,정요양병원,부산광역시 영도구 절영로 32(대교동1가),1899-0071
요양병원,일혜의료재단행복한요양병원,부산광역시 영도구 태종로372번길 41(청학동),051-417-9400
의원,참마음의원,"부산광역시 영도구 청학서로32번길 1, 지하1층 (청학동)",051-417-6090
의원,늘찬마취통증의학과의원,"부산광역시 영도구 태종로 98, 504호 (대교동2가, 모닝아일랜드)",051-417-8275
의원,(의)삼세의료재단 몸사랑내과의원,"부산광역시 영도구 절영로30번길 30, 6층 601호 (대교동1가)",051-418-7777
의원,성원정형외과의원,부산광역시 영도구 절영로 30 (대교동1가),051-417-6900
의원,한진복음의원,"부산광역시 영도구 태종로 233 (봉래동5가, 한진중공업)",051-410-3664
의원,더조은의원,"부산광역시 영도구 상리로 25, 가동 205.206호 (동삼동, 동삼그린힐아파트 상가동 2층)",051-405-5758
의원,편한이비인후과의원,"부산광역시 영도구 태종로 93, 3층 (대교동2가)",051-412-0100
의원,김도형정형외과의원,"부산광역시 영도구 동삼로 64, 3층 (동삼동, 농협)",051-714-0875
의원,맘모스의원,"부산광역시 영도구 태종로 325-1, 1층 (청학동)",051-413-4455
의원,부산삼보의료소비자생활협동조합 시원메디컬의원,"부산광역시 영도구 남항로 7, 4층 (남항동1가)",051-412-0110
의원,아나파마취통증의학과의원,"부산광역시 영도구 태종로 97, 7층 (대교동2가, 영도메디칼빌딩)",051-413-8818
의원,건강한내과의원,"부산광역시 영도구 동삼로 64, 5층 (동삼동)",051-403-2333
의원,한가족 내과신경외과의원,"부산광역시 영도구 와치로 252, 선프라자2층 (동삼동)",051-405-6546
의원,한빛연합의원,부산광역시 영도구 상리로 33 (동삼동),051-405-8633
의원,연세의원,"부산광역시 영도구 와치로 250, 3층 (동삼동)",051-405-7797
의원,푸른의원,"부산광역시 영도구 하나길 693, 2층.3층 (봉래동5가)",051-417-1114
의원,더맑은의원,"부산광역시 영도구 동삼로 12, 1층 (동삼동)",051-404-1221
의원,좋은영도내과의원,부산광역시 영도구 태종로 97 (대교동2가),051-714-3375
의원,미즈원산부인과의원,"부산광역시 영도구 태종로105번길 14, 지상1.2층 (영선동1가)",051-415-1700
의원,영도복지의원,부산광역시 영도구 남항로19번길 55 (대교동2가),051-412-4880
의원,영도이비인후과의원,부산광역시 영도구 태종로 97 (대교동2가),051-412-0100
의원,장혜경의원,부산광역시 영도구 동삼로 17 (동삼동),051-403-8800
의원,연세정신과의원,부산광역시 영도구 태종로 103-1 (대교동2가),051-413-0881
의원,상쾌한이비인후과의원,부산광역시 영도구 남항로 52 (영선동2가),051-413-4174
의원,영도좋은의원,부산광역시 영도구 태종로 416 (청학동),051-413-8272
의원,나나재활의학과의원,"부산광역시 영도구 남항로9번길 56, 1,2층 (대교동1가)",051-417-7755
의원,김익곤정형외과의원,"부산광역시 영도구 태종로 98, 4층 (대교동2가, 모닝아일랜드)",051-417-3800
의원,영도밝은안과의원,"부산광역시 영도구 동삼로 25, 4층 (동삼동)",051-403-7579
의원,수도의원,"부산광역시 영도구 태종로 160, 지상2.3층 (봉래동4가)",051-416-4031
의원,사랑의의원,부산광역시 영도구 절영로 58 (남항동2가),051-413-8275
의원,영도의원,부산광역시 영도구 태종로 370 (청학동),051-415-2332
의원,장편한내과의원,"부산광역시 영도구 동삼로 12, 2층 (동삼동)",051-404-1088
의원,오태호마취통증의학과의원,"부산광역시 영도구 태종로 93, 4층 (대교동2가, 대광빌딩)",051-412-1070
의원,(의)소명의료재단 한빛사랑의원,부산광역시 영도구 태종로 135 (봉래동3가),051-416-4442
의원,화경의원,부산광역시 영도구 하나길 608 (신선동1가),051-412-7931
의원,한마음의원,"부산광역시 영도구 태종로 332, 2층 (청학동)",051-416-9095
의원,e-맑은정신과의원,부산광역시 영도구 태종로 97 (대교동2가),051-415-5307
의원,영선의원,부산광역시 영도구 절영로 103 (영선동3가),051-416-5522
의원,조홍욱이비인후과의원,부산광역시 영도구 동삼로 64 (동삼동),051-404-0168
의원,강민기신경외과의원,"부산광역시 영도구 태종로 102, 7층 (대교동2가, 현전빌딩)",051-418-0058
의원,박봉근정형외과의원,부산광역시 영도구 남항로 51 (영선동2가),051-414-7582
의원,강남고운의원,"부산광역시 영도구 태종로 93 (대교동2가, 대광빌딩 6층,7층)",051-416-8009
의원,우리가정의원,부산광역시 영도구 청학로 91 (청학동),051-412-3737
의원,영도학문외과의원,"부산광역시 영도구 태종로 93, 5층 (대교동2가, 대광빌딩)",051-418-5150
의원,혜화산부인과의원,부산광역시 영도구 동삼로 64 (동삼동),051-405-5511
의원,하나인마취통증의학과의원,부산광역시 영도구 태종로 139 (봉래동3가),051-418-7717
의원,도기공안과의원,부산광역시 영도구 태종로 102 (대교동2가),051-417-4249
의원,현대정형외과의원,부산광역시 영도구 동삼로 45 (동삼동),051-405-6166
의원,일신내과의원,부산광역시 영도구 수정길 191 (신선동3가),051-417-9846
의원,최덕철소아청소년과의원,"부산광역시 영도구 동삼로 23, 4층 (동삼동)",051-405-8833
의원,신아의원,부산광역시 영도구 남항로49번길 58 (영선동1가),051-418-7175
의원,동산의원,"부산광역시 영도구 태종로 106-1, 2.3층 (영선동1가)",051-413-4652
의원,이형유내과의원,부산광역시 영도구 태종로 102 (대교동2가),051-417-9237
의원,고운피부과의원,부산광역시 영도구 태종로 102 (대교동2가),051-415-4001
의원,김무진의원,"부산광역시 영도구 동삼로 34, 2층 (동삼동)",051-405-2772
의원,신근식산부인과의원,부산광역시 영도구 태종로 319-1 (청학동),051-412-0339
의원,조규룡안과의원,부산광역시 영도구 태종로 93 (대교동2가),051-412-7970
의원,박해일내과의원,부산광역시 영도구 동삼로 25 (동삼동),051-405-4200
의원,강남의원,부산광역시 영도구 꿈나무길 183 (영선동2가),051-416-4015
의원,미드림피부과의원,부산광역시 영도구 태종로 97 (대교동2가),051-412-2375
